YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,2,19,"San Luis - Capital",1903/02/19,,,,,,,,,,,,,,,,,,,,,,,
1903,2,20,"San Luis - Capital",1903/02/20,,,,,,,,,,,,,,,,,,,,,,,
1903,2,21,"San Luis - Capital",1903/02/21,,,,,,,,,,,,,,,,,,,,,,,
1903,2,22,"San Luis - Capital",1903/02/22,,,,,,,,,,,,,,,,,,,,,,,
1903,2,23,"San Luis - Capital",1903/02/23,,,,,,,,,,,,,,,,,,,,,,,
1903,2,24,"San Luis - Capital",1903/02/24,,,,,,,,,,,,,,,,,,,,,,,
1903,2,25,"San Luis - Capital",1903/02/25,,,,,,,,,,,,,,,,,,,,,,,
1903,2,26,"San Luis - Capital",1903/02/26,,,,,,,,,,,,,,,,,,,,,,,
1903,2,27,"San Luis - Capital",1903/02/27,,,,,,,,,,,,,,,,,,,,,,,
1903,2,28,"San Luis - Capital",1903/02/28,,,,,,,,,,,,,,,,,,,,,,,
1903,3,1,"San Luis - Capital",1903/03/01,762.6,-5.3,17,2,29,11,70,N,1,K,1,,,,,,,,,,,,
1903,3,2,"San Luis - Capital",1903/03/02,761.1,-1.5,19,2,29,11,,,0,,0,,,,,,,,,,,,
1903,3,3,"San Luis - Capital",1903/03/03,760.4,-0.7,24,5,32,15,75,NW,1,K,1,,,,,,,,,,,,
1903,3,4,"San Luis - Capital",1903/03/04,764.8,4.4,15,-9,35,14,78,SE,1,N,3,,,,,,,,,,,,
1903,3,5,"San Luis - Capital",1903/03/05,759.5,-5.3,23,8,30,14,83,N,1,,0,,,,,,,,,,,,
1903,3,6,"San Luis - Capital",1903/03/06,754.7,-4.8,21,-5,35,17,91,NW,2,,0,,,,,,,,,,,,
1903,3,7,"San Luis - Capital",1903/03/07,764.2,9.5,15,-6,36,15,68,SW,3,CS,2,,,,,,,,,,,,
1903,3,8,"San Luis - Capital",1903/03/08,764.1,-0.1,16,1,24,14,89,,0,N,3,,,,,,,,,,,,
1903,3,9,"San Luis - Capital",1903/03/09,760.5,-3.6,16,0,19,14,100,SE,1,N,3,,,,,,,,,,,,
1903,3,10,"San Luis - Capital",1903/03/10,762.5,2,17,,25,13,80,NW,1,,0,,,,,,,,,,,,
1903,3,11,"San Luis - Capital",1903/03/11,766.3,3.8,18,1,29,13,62,SW,1,,0,,,,,,,,,,,,
1903,3,12,"SAN LUIS - Capital",1903/03/12,764,-2.3,19,1,30,15,63,NW,1,SK,2,,,,,,,,,,,,
1903,3,13,"SAN LUIS - Capital",1903/03/13,761,-3,19,0,32,15,63,,0,,0,,,,,,,,,,,,
1903,3,14,"SAN LUIS - Capital",1903/03/14,,,18,-1,34,18,71,NW,1,N,3,,,,,,,,,,,,
1903,3,15,"SAN LUIS - Capital",1903/03/15,761.1,,18,0,29,14,80,,0,CS,1,,,,,,,,,,,,
1903,3,16,"SAN LUIS - Capital",1903/03/16,758.6,-2.5,20,2,35,16,72,,0,K,1,,,,,,,,,,,,
1903,3,17,"SAN LUIS - Capital",1903/03/17,766.7,8.1,15,-5,34,14,68,N,2,K,1,,,,,,,,,,,,
1903,3,18,"SAN LUIS - Capital",1903/03/18,758,-8.7,21,6,25,13,41,NW,1,,0,,,,,,,,,,,,
1903,3,19,"SAN LUIS - Capital",1903/03/19,753,-5,23,2,31,18,66,NW,1,C,1,,,,,,,,,,,,
1903,3,20,"SAN LUIS - Capital",1903/03/20,753.3,0.3,21,-2,34,20,65,,0,K,1,,,,,,,,,,,,
1903,3,21,"SAN LUIS - Capital",1903/03/21,762.7,9.4,15,-6,32,13,89,NW,1,KN,1,,,,,,,,,,,,
1903,3,22,"SAN LUIS - Capital",1903/03/22,765,2.3,14,-1,25,10,78,N,1,SK,1,,,,,,,,,,,,
1903,3,23,"SAN LUIS - Capital",1903/03/23,762.7,-2.3,20,6,26,13,72,NW,2,SK,1,,,,,,,,,,,,
1903,3,24,"SAN LUIS - Capital",1903/03/24,757,-5.7,23,3,28,19,74,,0,SK,1,,,,,,,,,,,,
1903,3,25,"SAN LUIS - Capital",1903/03/25,755.8,-3.7,23,3,32,19,83,,0,,0,,,,,,,,,,,,
1903,3,26,"SAN LUIS - Capital",1903/03/26,759.5,2.5,20,-3,34,18,91,,0,N,3,,,,,,,,,,,,
1903,3,27,"SAN LUIS - Capital",1903/03/27,757.5,1.7,20,-3,37,19,72,NW,1,SK,3,,,,,,,,,,,,
1903,3,28,"SAN LUIS - Capital",1903/03/28,758.8,1.3,17,-3,30,17,90,W,1,N,3,,,,,,,,,,,,
1903,3,29,"SAN LUIS - Capital",1903/03/29,762.9,4.1,13,-4,25,13,88,,0,K,1,,,,,,,,,,,,
1903,3,30,"SAN LUIS - Capital",1903/03/30,763.3,0.4,11,-2,25,10,100,,0,N,3,,,,,,,,,,,,
1903,3,31,"SAN LUIS - Capital",1903/03/31,,,,,,,,,,,,,,,,,,,,,,,
1903,4,1,"SAN LUIS - Capital",1903/04/01,765,,17,,23,16,100,NW,1,N,3,,,,,,,,,,,,
1903,4,2,"SAN LUIS - Capital",1903/04/02,763.8,-1.2,18,1,28,17,90,NW,1,K,1,,,,,,,,,,,,
1903,4,3,"SAN LUIS - Capital",1903/04/03,761.3,-2.5,19,1,33,17,81,NW,1,N,3,,,,,,,,,,,,
1903,4,4,"SAN LUIS - Capital",1903/04/04,762.9,1.6,13,-6,22,12,88,,0,,0,,,,,,,,,,,,
1903,4,5,"SAN LUIS - Capital",1903/04/05,762.6,-0.3,19,6,28,12,90,,0,N,3,,,,,,,,,,,,
1903,4,6,"SAN LUIS - Capital",1903/04/06,766.8,4.2,9,-10,15,8,100,W,1,N,3,,,,,,,,,,,,
1903,4,7,"SAN LUIS - Capital",1903/04/07,,,,,,,,,,,,,,,,,,,,,,,
1903,4,8,"SAN LUIS - Capital",1903/04/08,,,,,,,,,,,,,,,,,,,,,,,
1903,4,9,"SAN LUIS - Capital",1903/04/09,768.5,,12,,17,10,88,E,2,N,3,,,,,,,,,,,,
1903,4,10,"SAN LUIS - Capital",1903/04/10,764.9,-3.6,15,3,,10,100,E,1,N,3,,,,,,,,,,,,
1903,4,11,"SAN LUIS - Capital",1903/04/11,,,,,,,,,,,,,,,,,,,,,,,
1903,4,12,"SAN LUIS - Capital",1903/04/12,764.1,,13,,15,9,77,SW,1,,0,,,,,,,,,,,,
1903,4,13,"SAN LUIS - Capital",1903/04/13,760.8,-3.3,14,1,26,12,78,,0,N,2,,,,,,,,,,,,
1903,4,14,"SAN LUIS - Capital",1903/04/14,767.4,6.6,7,-7,13,7,100,,0,SK,2,,,,,,,,,,,,
1903,4,15,"SAN LUIS - Capital",1903/04/15,769.9,2.5,10,3,13,7,86,NE,1,N,3,,,,,,,,,,,,
1903,4,16,"SAN LUIS - Capital",1903/04/16,766,-3.9,10,0,12,6,86,NE,1,C,1,,,,,,,,,,,,
1903,4,17,"SAN LUIS - Capital",1903/04/17,760.9,-5.1,10,0,23,6,86,NW,1,C,1,,,,,,,,,,,,
1903,4,18,"SAN LUIS - Capital",1903/04/18,763.4,2.5,12,2,,6,100,,0,KN,3,,,,,,,,,,,,
1903,4,19,"SAN LUIS - Capital",1903/04/19,,,8,-4,20,5,59,NW,2,,0,,,,,,,,,,,,
