YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las  (see Remarks)","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1902,6,13,"Salta-La Merced",1902/06/13,762.3,1.5,21,2,21,4,65,NE,2,C,1,,,,,,,,,,,,
1902,6,14,"Salta-La Merced",1902/06/14,762.3,1.5,21,2,21,4,65,NE,2,C,1,,,,,,,,,,,,
1902,6,15,"Salta-La Merced",1902/06/15,757,-3.9,22,0,22,3,66,,0,K,2,,,,,,,,,,,,
1902,6,16,"Salta-La Merced",1902/06/16,751.6,-5.4,25,3,26,2,61,NE,1,S,1,,,,,,,,,,,,
1902,6,17,"Salta-La Merced",1902/06/17,750.6,-1,25,0,26,3,54,,0,S,2,,,,,,,,,,,,
1902,6,18,"Salta-La Merced",1902/06/18,755.8,5.2,22,-3,22,6,74,N,1,KS,2,,,,,,,,,,,,
1902,6,19,"Salta-La Merced",1902/06/19,761.1,5.3,15,-7,15,7,78,NE,1,K,3,,,,,,,,,,,,
1902,6,20,"Salta-La Merced",1902/06/20,762.7,1.6,16,1,16,5,79,NE,2,K,1,,,,,,,,,,,,
1902,6,21,"Salta-La Merced",1902/06/21,763.1,0.4,14,-2,14,2,67,NE,1,K,2,,,,,,,,,,,,
1902,6,22,"Salta-La Merced",1902/06/22,761.8,-1.3,18,4,18,0,44,NE,2,CS,1,,,,,,,,,,,,
1902,6,23,"Salta-La Merced",1902/06/23,768.2,6.4,14,-4,14,3,67,NE,1,K,3,,,,,,,,,,,,
1902,6,24,"Salta-La Merced",1902/06/24,765.3,-2.9,17,3,17,-2,52,NE,2,,0,,,,,,,,,,,,
1902,6,25,"Salta-La Merced",1902/06/25,760.8,-4.5,18,1,19,-3,44,,0,,0,,,,,,,,,,,,
1902,6,26,"Salta-La Merced",1902/06/26,757,-3.8,24,6,24,0,60,NE,2,CS,1,,,,,,,,,,,,
1902,6,27,"Salta-La Merced",1902/06/27,758.9,1.9,23,-1,26,2,18,NE,2,KS,2,,,,,,,,,,,,
1902,6,28,"Salta-La Merced",1902/06/28,,,18,-5,21,10,71,NE,1,K,3,,,,,,,,,,,,
1902,6,29,"Salta-La Merced",1902/06/29,763.1,,15,-3,16,6,89,NE,2,K,1,,,,,,,,,,,,
1902,6,30,"Salta-La Merced",1902/06/30,759.3,-3.8,19,4,19,2,72,N,1,CK,1,,,,,,,,,,,,
1902,7,1,,1902/07/01,,,,,,,,,,,,,,,,,,,,,,,
1902,7,2,,1902/07/02,,,,,,,,,,,,,,,,,,,,,,,
1902,7,4,,1902/07/04,,,,,,,,,,,,,,,,,,,,,,,
1902,7,5,,1902/07/05,,,,,,,,,,,,,,,,,,,,,,,
1902,7,6,,1902/07/06,,,,,,,,,,,,,,,,,,,,,,,
1902,7,7,,1902/07/07,,,,,,,,,,,,,,,,,,,,,,,
1902,7,8,,1902/07/08,,,,,,,,,,,,,,,,,,,,,,,
1902,7,9,,1902/07/09,,,,,,,,,,,,,,,,,,,,,,,
1902,7,10,,1902/07/10,,,,,,,,,,,,,,,,,,,,,,,
1902,7,11,,1902/07/11,,,,,,,,,,,,,,,,,,,,,,,
1902,7,12,,1902/07/12,,,,,,,,,,,,,,,,,,,,,,,
1902,7,13,,1902/07/13,,,,,,,,,,,,,,,,,,,,,,,
1902,7,14,,1902/07/14,,,,,,,,,,,,,,,,,,,,,,,
1902,7,15,,1902/07/15,,,,,,,,,,,,,,,,,,,,,,,
1902,7,16,,1902/07/16,,,,,,,,,,,,,,,,,,,,,,,
1902,7,17,,1902/07/17,,,,,,,,,,,,,,,,,,,,,,,
1902,7,18,,1902/07/18,,,,,,,,,,,,,,,,,,,,,,,
1902,7,19,,1902/07/19,,,,,,,,,,,,,,,,,,,,,,,
1902,7,20,,1902/07/20,,,,,,,,,,,,,,,,,,,,,,,
1902,7,21,,1902/07/21,,,,,,,,,,,,,,,,,,,,,,,
1902,7,23,,1902/07/23,,,,,,,,,,,,,,,,,,,,,,,
1902,7,24,,1902/07/24,,,,,,,,,,,,,,,,,,,,,,,
1902,7,25,,1902/07/25,,,,,,,,,,,,,,,,,,,,,,,
1902,7,26,,1902/07/26,,,,,,,,,,,,,,,,,,,,,,,
1902,7,27,,1902/07/27,,,,,,,,,,,,,,,,,,,,,,,
1902,7,28,,1902/07/28,,,,,,,,,,,,,,,,,,,,,,,
1902,7,29,,1902/07/29,,,,,,,,,,,,,,,,,,,,,,,
1902,7,30,,1902/07/30,,,,,,,,,,,,,,,,,,,,,,,
1902,7,31,,1902/07/31,,,,,,,,,,,,,,,,,,,,,,,
1902,8,1,,1902/08/01,,,,,,,,,,,,,,,,,,,,,,,
1902,8,2,,1902/08/02,,,,,,,,,,,,,,,,,,,,,,,
1902,8,3,,1902/08/03,,,,,,,,,,,,,,,,,,,,,,,
1902,8,4,,1902/08/04,,,,,,,,,,,,,,,,,,,,,,,
1902,8,5,,1902/08/05,,,,,,,,,,,,,,,,,,,,,,,
1902,8,6,,1902/08/06,,,,,,,,,,,,,,,,,,,,,,,
1902,8,7,,1902/08/07,,,,,,,,,,,,,,,,,,,,,,,
1902,8,8,,1902/08/08,,,,,,,,,,,,,,,,,,,,,,,
1902,8,9,,1902/08/09,,,,,,,,,,,,,,,,,,,,,,,
1902,8,10,,1902/08/10,,,,,,,,,,,,,,,,,,,,,,,
1902,8,11,,1902/08/11,,,,,,,,,,,,,,,,,,,,,,,
1902,8,12,,1902/08/12,,,,,,,,,,,,,,,,,,,,,,,
1902,8,13,,1902/08/13,,,,,,,,,,,,,,,,,,,,,,,
1902,8,14,,1902/08/14,,,,,,,,,,,,,,,,,,,,,,,
1902,8,15,,1902/08/15,,,,,,,,,,,,,,,,,,,,,,,
1902,8,16,,1902/08/16,,,,,,,,,,,,,,,,,,,,,,,
1902,8,17,,1902/08/17,,,,,,,,,,,,,,,,,,,,,,,
1902,8,18,,1902/08/18,,,,,,,,,,,,,,,,,,,,,,,
1902,8,19,,1902/08/19,,,,,,,,,,,,,,,,,,,,,,,
1902,8,20,,1902/08/20,,,,,,,,,,,,,,,,,,,,,,,
1902,8,21,,1902/08/21,,,,,,,,,,,,,,,,,,,,,,,
1902,8,22,,1902/08/22,,,,,,,,,,,,,,,,,,,,,,,
1902,8,23,,1902/08/23,,,,,,,,,,,,,,,,,,,,,,,
1902,8,24,,1902/08/24,,,,,,,,,,,,,,,,,,,,,,,
1902,8,25,,1902/08/25,,,,,,,,,,,,,,,,,,,,,,,
1902,8,26,,1902/08/26,,,,,,,,,,,,,,,,,,,,,,,
1902,8,27,,1902/08/27,,,,,,,,,,,,,,,,,,,,,,,
1902,8,28,,1902/08/28,,,,,,,,,,,,,,,,,,,,,,,
1902,8,29,,1902/08/29,,,,,,,,,,,,,,,,,,,,,,,
1902,8,30,,1902/08/30,,,,,,,,,,,,,,,,,,,,,,,
1902,8,31,,1902/08/31,,,,,,,,,,,,,,,,,,,,,,,
1902,9,2,,1902/09/02,,,,,,,,,,,,,,,,,,,,,,,
1902,9,3,,1902/09/03,,,,,,,,,,,,,,,,,,,,,,,
1902,9,4,,1902/09/04,,,,,,,,,,,,,,,,,,,,,,,
1902,9,5,,1902/09/05,,,,,,,,,,,,,,,,,,,,,,,
1902,9,6,,1902/09/06,,,,,,,,,,,,,,,,,,,,,,,
1902,9,7,,1902/09/07,,,,,,,,,,,,,,,,,,,,,,,
1902,9,8,,1902/09/08,,,,,,,,,,,,,,,,,,,,,,,
1902,9,10,,1902/09/10,,,,,,,,,,,,,,,,,,,,,,,
1902,9,11,,1902/09/11,,,,,,,,,,,,,,,,,,,,,,,
1902,9,12,,1902/09/12,,,,,,,,,,,,,,,,,,,,,,,
1902,9,13,,1902/09/13,,,,,,,,,,,,,,,,,,,,,,,
1902,9,14,,1902/09/14,,,,,,,,,,,,,,,,,,,,,,,
1902,9,15,,1902/09/15,,,,,,,,,,,,,,,,,,,,,,,
1902,9,16,,1902/09/16,,,,,,,,,,,,,,,,,,,,,,,
1902,9,17,,1902/09/17,,,,,,,,,,,,,,,,,,,,,,,
1902,9,18,,1902/09/18,,,,,,,,,,,,,,,,,,,,,,,
1902,9,19,,1902/09/19,,,,,,,,,,,,,,,,,,,,,,,
1902,9,20,,1902/09/20,,,,,,,,,,,,,,,,,,,,,,,
1902,9,21,,1902/09/21,,,,,,,,,,,,,,,,,,,,,,,
1902,9,22,,1902/09/22,,,,,,,,,,,,,,,,,,,,,,,
1902,9,23,,1902/09/23,,,,,,,,,,,,,,,,,,,,,,,
1902,9,24,,1902/09/24,,,,,,,,,,,,,,,,,,,,,,,
1902,9,25,,1902/09/25,,,,,,,,,,,,,,,,,,,,,,,
1902,9,26,,1902/09/26,,,,,,,,,,,,,,,,,,,,,,,
1902,9,27,,1902/09/27,,,,,,,,,,,,,,,,,,,,,,,
1902,9,28,,1902/09/28,,,,,,,,,,,,,,,,,,,,,,,
1902,9,29,,1902/09/29,,,,,,,,,,,,,,,,,,,,,,,
1902,9,30,,1902/09/30,,,,,,,,,,,,,,,,,,,,,,,
1902,10,1,,1902/10/01,,,,,,,,,,,,,,,,,,,,,,,
1902,10,2,,1902/10/02,,,,,,,,,,,,,,,,,,,,,,,
1902,10,3,,1902/10/03,,,,,,,,,,,,,,,,,,,,,,,
1902,10,5,,1902/10/05,,,,,,,,,,,,,,,,,,,,,,,
1902,10,7,,1902/10/07,,,,,,,,,,,,,,,,,,,,,,,
1902,10,8,,1902/10/08,,,,,,,,,,,,,,,,,,,,,,,
1902,10,9,,1902/10/09,,,,,,,,,,,,,,,,,,,,,,,
1902,10,10,,1902/10/10,,,,,,,,,,,,,,,,,,,,,,,
1902,10,11,,1902/10/11,,,,,,,,,,,,,,,,,,,,,,,
1902,10,12,,1902/10/12,,,,,,,,,,,,,,,,,,,,,,,
1902,10,13,,1902/10/13,,,,,,,,,,,,,,,,,,,,,,,
1902,10,14,,1902/10/14,,,,,,,,,,,,,,,,,,,,,,,
1902,10,15,,1902/10/15,,,,,,,,,,,,,,,,,,,,,,,
1902,10,16,,1902/10/16,,,,,,,,,,,,,,,,,,,,,,,
1902,10,17,,1902/10/17,,,,,,,,,,,,,,,,,,,,,,,
1902,10,18,,1902/10/18,,,,,,,,,,,,,,,,,,,,,,,
1902,10,19,,1902/10/19,,,,,,,,,,,,,,,,,,,,,,,
1902,10,20,,1902/10/20,,,,,,,,,,,,,,,,,,,,,,,
1902,10,21,,1902/10/21,,,,,,,,,,,,,,,,,,,,,,,
1902,10,22,,1902/10/22,,,,,,,,,,,,,,,,,,,,,,,
